@,dirka,mal,2024
18,0,F. Quartararo,MONSTER ENERGY YAMAHA MOTOGP TEAM,2574.961
19,0,J. Miller,RED BULL KTM FACTORY RACING,2575.307
20,0,L. Savadori,APRILIA RACING,2575.749
21,0,J. Zarco,CASTROL HONDA LCR,2585.299
22,0,S. Bradl,HRC TEST TEAM,2586.096
@,dirka,gbr,2024
1,25,E. Bastianini,DUCATI LENOVO TEAM,2391.879
2,20,J. Martin,PRIMA PRAMAC RACING,2393.810
3,16,F. Bagnaia,DUCATI LENOVO TEAM,2397.745
4,13,M. Marquez,GRESINI RACING MOTOGP,2398.785
5,11,F. Di Giannantonio,PERTAMINA ENDURO VR46 RACING TEAM,2399.615
6,10,A. Espargaro,APRILIA RACING,2401.393
7,9,A. Marquez,GRESINI RACING MOTOGP,2401.620
8,8,M. Bezzecchi,PERTAMINA ENDURO VR46 RACING TEAM,2405.895
9,7,P. Acosta,RED BULL GASGAS TECH3,2408.265
10,6,F. Morbidelli,PRIMA PRAMAC RACING,2415.488
11,5,F. Quartararo,MONSTER ENERGY YAMAHA MOTOGP TEAM,2416.081
12,4,J. Miller,RED BULL KTM FACTORY RACING,2417.646
13,3,M. Viales,APRILIA RACING,2418.630
14,2,J. Zarco,CASTROL HONDA LCR,2418.832
15,1,T. Nakagami,IDEMITSU HONDA LCR,2429.157
16,0,A. Fernandez,RED BULL GASGAS TECH3,2429.484
17,0,L. Marini,REPSOL HONDA TEAM,2439.386
18,0,R. Gardner,MONSTER ENERGY YAMAHA MOTOGP TEAM,2451.016
@,dirka,ger,2024
1,25,F. Bagnaia,DUCATI LENOVO TEAM,2440.063
2,20,M. Marquez,GRESINI RACING MOTOGP,2443.867
3,16,A. Marquez,GRESINI RACING MOTOGP,2444.397
4,13,E. Bastianini,DUCATI LENOVO TEAM,2445.380
5,11,F. Morbidelli,PRIMA PRAMAC RACING,2445.620
6,10,M. Oliveira,TRACKHOUSE RACING,2450.544
7,9,P. Acosta,RED BULL GASGAS TECH3,2454.809
8,8,M. Bezzecchi,PERTAMINA ENDURO VR46 RACING TEAM,2454.993
9,7,B. Binder,RED BULL KTM FACTORY RACING,2455.147
10,6,R. Fernandez,TRACKHOUSE RACING,2456.447
11,5,F. Quartararo,MONSTER ENERGY YAMAHA MOTOGP TEAM,2457.298
12,4,M. Viales,APRILIA RACING,2458.928
13,3,J. Miller,RED BULL KTM FACTORY RACING,2465.488
14,2,T. Nakagami,IDEMITSU HONDA LCR,2465.880
15,1,L. Marini,REPSOL HONDA TEAM,2465.917
16,0,A. Fernandez,RED BULL GASGAS TECH3,2481.558
17,0,J. Zarco,CASTROL HONDA LCR,2482.015
18,0,J. Mir,REPSOL HONDA TEAM,2483.208
19,0,R. Gardner,MONSTER ENERGY YAMAHA MOTOGP TEAM,2490.178
20,0,S. Bradl,HRC TEST TEAM,2499.110
@,dirka,ned,2024
1,25,F. Bagnaia,DUCATI LENOVO TEAM,2407.214
2,20,J. Martin,PRIMA PRAMAC RACING,2410.890
3,16,E. Bastianini,DUCATI LENOVO TEAM,2414.287
4,13,F. Di Giannantonio,PERTAMINA ENDURO VR46 RACING TEAM,2415.513
5,11,M. Viales,APRILIA RACING,2415.472
6,10,B. Binder,RED BULL KTM FACTORY RACING,2423.219
7,9,A. Marquez,GRESINI RACING MOTOGP,2428.309
8,8,R. Fernandez,TRACKHOUSE RACING,2429.582
9,7,F. Morbidelli,PRIMA PRAMAC RACING,2430.627
10,6,M. Marquez,GRESINI RACING MOTOGP,2431.082
11,5,J. Miller,RED BULL KTM FACTORY RACING,2431.218
12,4,F. Quartararo,MONSTER ENERGY YAMAHA MOTOGP TEAM,2431.271
13,3,J. Zarco,CASTROL HONDA LCR,2449.981
14,2,A. Fernandez,RED BULL GASGAS TECH3,2450.085
15,1,M. Oliveira,TRACKHOUSE RACING,2451.643
16,0,T. Nakagami,IDEMITSU HONDA LCR,2453.460
17,0,L. Marini,REPSOL HONDA TEAM,2478.151
@,dirka,ita,2024
1,25,F. Bagnaia,DUCATI LENOVO TEAM,2451.385
2,20,E. Bastianini,DUCATI LENOVO TEAM,2452.184
3,16,J. Martin,PRIMA PRAMAC RACING,2452.309
4,13,M. Marquez,GRESINI RACING MOTOGP,2453.449
5,11,P. Acosta,RED BULL GASGAS TECH3,2458.886
6,10,F. Morbidelli,PRIMA PRAMAC RACING,2461.275
7,9,F. Di Giannantonio,PERTAMINA ENDURO VR46 RACING TEAM,2461.461
8,8,M. Viales,APRILIA RACING,2463.068
9,7,A. Marquez,GRESINI RACING MOTOGP,2464.920
10,6,B. Binder,RED BULL KTM FACTORY RACING,2467.286
11,5,A. Espargaro,APRILIA RACING,2470.567
12,4,R. Fernandez,TRACKHOUSE RACING,2471.692
13,3,M. Bezzecchi,PERTAMINA ENDURO VR46 RACING TEAM,2471.731
14,2,M. Oliveira,TRACKHOUSE RACING,2474.677
15,1,A. Rins,MONSTER ENERGY YAMAHA MOTOGP TEAM,2474.998
16,0,J. Miller,RED BULL KTM FACTORY RACING,2479.802
17,0,P. Espargaro,RED BULL KTM FACTORY RACING,2480.163
